"","word","sentiment","n"
"781","manipulation","negative",8
"782","optimism","positive",8
"783","paramount","positive",8
"784","partisan","negative",8
"785","phenomenal","positive",8
"786","poorly","negative",8
"787","praise","positive",8
"788","proactive","positive",8
"789","refuses","negative",8
"790","rejected","negative",8
"791","rejects","negative",8
"792","rumors","negative",8
"793","shock","negative",8
"794","shortness","negative",8
"795","slower","negative",8
"796","smoothly","positive",8
"797","stark","negative",8
"798","supportive","positive",8
"799","terror","negative",8
"800","transparent","positive",8
"801","tyranny","negative",8
"802","unavailable","negative",8
"803","variety","positive",8
"804","wisdom","positive",8
"805","worsening","negative",8
"806","adaptive","positive",7
"807","anger","negative",7
"808","ashamed","negative",7
"809","astonishing","positive",7
"810","balanced","positive",7
"811","beware","negative",7
"812","blessing","positive",7
"813","bloody","negative",7
"814","boycott","negative",7
"815","breakthroughs","positive",7
"816","brutality","negative",7
"817","burn","negative",7
"818","capable","positive",7
"819","catastrophic","negative",7
"820","competitive","positive",7
"821","complication","negative",7
"822","confined","negative",7
"823","confusing","negative",7
"824","congratulate","positive",7
"825","controversial","negative",7
"826","correctly","positive",7
"827","crushed","negative",7
"828","cute","positive",7
"829","defeating","positive",7
"830","delicious","positive",7
"831","depressing","negative",7
"832","desirable","positive",7
"833","disgrace","negative",7
"834","doomed","negative",7
"835","efficiently","positive",7
"836","elegantly","positive",7
"837","exceed","positive",7
"838","falsely","negative",7
"839","famine","negative",7
"840","fascist","negative",7
"841","fleeing","negative",7
"842","flexible","positive",7
"843","frustrated","negative",7
"844","gaining","positive",7
"845","gem","positive",7
"846","generous","positive",7
"847","goodness","positive",7
"848","harmed","negative",7
"849","harmless","positive",7
"850","havoc","negative",7
"851","horrific","negative",7
"852","horrifying","negative",7
"853","hypocrite","negative",7
"854","ignorant","negative",7
"855","immoral","negative",7
"856","impunity","negative",7
"857","inconvenience","negative",7
"858","intense","negative",7
"859","knock","negative",7
"860","liar","negative",7
"861","lonely","negative",7
"862","mocked","negative",7
"863","morons","negative",7
"864","patriot","positive",7
"865","prestigious","positive",7
"866","rational","positive",7
"867","responsive","positive",7
"868","rotten","negative",7
"869","ruined","negative",7
"870","sensitive","positive",7
"871","sharply","negative",7
"872","shocked","negative",7
"873","sincerely","positive",7
"874","smoke","negative",7
"875","spiritual","positive",7
"876","stunning","positive",7
"877","sue","negative",7
"878","swift","positive",7
"879","thriving","positive",7
"880","tidy","positive",7
"881","tragic","negative",7
"882","unclear","negative",7
"883","unethical","negative",7
"884","upheld","positive",7
"885","worrisome","negative",7
"886","accurately","positive",6
"887","agile","positive",6
"888","arrogance","negative",6
"889","arrogant","negative",6
"890","authoritarian","negative",6
"891","bomb","negative",6
"892","bored","negative",6
"893","bravo","positive",6
"894","brighter","positive",6
"895","bullying","negative",6
"896","bust","negative",6
"897","cashback","positive",6
"898","cheer","positive",6
"899","chic","positive",6
"900","classic","positive",6
"901","clearer","positive",6
"902","comforting","positive",6
"903","compatible","positive",6
"904","convincing","positive",6
"905","courageous","positive",6
"906","culprit","negative",6
"907","decent","positive",6
"908","delaying","negative",6
"909","desperately","negative",6
"910","deter","negative",6
"911","detrimental","negative",6
"912","dictator","negative",6
"913","diplomatic","positive",6
"914","disagree","negative",6
"915","disgraceful","negative",6
"916","distraction","negative",6
"917","dominate","positive",6
"918","dubious","negative",6
"919","dumping","negative",6
"920","dust","negative",6
"921","eager","positive",6
"922","enhancement","positive",6
"923","enthusiasm","positive",6
"924","exceeded","positive",6
"925","exhausted","negative",6
"926","fancy","positive",6
"927","favor","positive",6
"928","favour","positive",6
"929","fictitious","negative",6
"930","fortunately","positive",6
"931","freeze","negative",6
"932","garbage","negative",6
"933","golden","positive",6
"934","helpless","negative",6
